frank f. de groot;alain  fontaine
kenji k. kobayashi;atsushi  fujimori
masashi  tachiki;yasuhiko  syono
david j. singh;amy y. liu
c. a. balseiro;karen a. hallberg
alan t. dorsey;david a. huse
gunnar  borstel;manfred  neumann
jeffrey w. lynn;k. j. chang
christian  thomsen;manuel  cardona
s  w. cheong;paul c. canfield
peter  weinberger;paul c. canfield
jagdeep  shah;thomas l. reinecke
juan josé palacios;luis  brey
p. s. thomas;fausto  rossi
s. c. zhang;arthur c. gossard
marvin l. cohen;angel  rubio
amnon  aharony;joan  adler
gérard  krill;alain  fontaine
c. t. chan;k. m. ho
yshai  avishai;richard  berkovits
paul m. marcus;franco  jona
j. w. wagner;klaus h. ploog
f. g. bridges;john j. rehr
alessandra  continenza;sandro  massidda
klaus h. ploog;w. w. rühle
klaus h. ploog;j. w. wagner
j. l. peng;richard l. greene
thomas m. palstra;yoshihiro  iwasa
roberto  cingolani;holger t. grahn
atsushi  fujimori;s. i. uchida
didier  poilblanc;elbio r. dagotto
j. a. mydosh;f. j. lamelas
david l. ederer;thomas a. callcott
kenji k. kobayashi;hiroshi  eisaki
walter n. hardy;thomas  timusk
ross w. erwin;paul c. canfield
boris i. ivlev;alan r. bishop
t. m. klapwijk;h.  van kempen
paolo  lugli;fausto  rossi
isao  tanaka;toshizo  fujita
k. w. kim;michael a. stroscio
g. h. li;klaus h. ploog
c. t. chan;manfred  fähnle
benjamin  segall;k. w. kim
walter l. lambrecht;hadis  morkoç
klaus h. ploog;klaus v. klitzing
w. w. rühle;klaus h. ploog
y. b. xu;j. f. wang
l. j. sham;loren n. pfeiffer
x. b. wang;j. f. wang
noboru  miura;robin j. nicholas
k. w. kim;walter l. lambrecht
karl  syassen;martin  stutzmann
bruno k. meyer;g. w. weimann
james t. nicholls;david a. ritchie
t. f. rosenbaum;u. w. welp
yoshihiro  iwasa;thomas m. palstra
m. f. onellion;m.  marsi
s  w. cheong;j. d. thompson
atsushi  fujimori;hiroshi  eisaki
walter l. lambrecht;k. w. kim
m. b. walker;thomas  timusk
j. e. crow;b. d. dabrowski
jeffrey w. lynn;jefferson z. liu
m. m. sigalas;k. m. ho
stefan k. estreicher;peter a. fedders
g.  landwehr;andreas  waag
thomas l. reinecke;v. d. kulakovskii
angel  rubio;marvin l. cohen
peter c. eklund;y. x. wang
r. l. meng;c. w. chu
bohdan  andraka;alois a. menovsky
l. j. sham;d. s. kim
x. d. zhu;peter b. littlewood
h. r. ott;leonardo  degiorgi
g. h. li;o. g. brandt
hidenori  takagi;s. i. uchida
rudolf  zeller;peter  weinberger
w. c. lee;p. l. gammel
