clifford c. klick;herbert b. rosenstock
seymour  katcoff;elizabeth w. baker
l. f. chase;e. k. warburton
jack l. uretsky;michael j. moravcsik
john l. gammel;roy m. thaler
alan b. smith;paul r. fields
howard a. shugart;lawrence l. marino
e. g. sudarshan;susumu  okubo
myron l. good;harold k. ticho
albert  ghiorso;glenn t. seaborg
wilson m. powell;t. j. ypsilantis
harvey b. willard;hans o. cohn
james w. cronin;r. l. cool
william b. fowler;clyde e. wiegand
ray  pepinsky;yoshiharu  okaya
samuel h. liu;robert h. good
laurence r. walker;martin  peter
wesley b. ewbank;howard a. shugart
paul r. fields;glenn t. seaborg
robert  vandenbosch;john r. huizenga
lyle  patrick;donald r. hamilton
glenn t. seaborg;stanley g. thompson
h.  palevsky;donald j. hughes
e.  almqvist;h. e. gove
lawrence l. marino;henry b. silsbee
samuel w. macdowell;marvin l. goldberger
