peter j. jensen;marko vukobrat jarić
p.  kammel;w. h. bertl
j. l. duggan;grzegorz  lapicki
riccardo  zanasi;paolo  lazzeretti
william e. cooke;jeffrey  bokor
e.  meroz;arie  zigler
o.  redi;paul r. berman
e.  huttel;h.  baumgart
franz  schäfers;u.  heinzmann
s. p. khare;m. k. sharma
william p. spencer;daniel  kleppner
harold j. metcalf;dong  taiqian
b. g. zollars;r. h. hill
dwight w. berreman;saul  meiboom
harold k. haugen;helge  knudsen
s. b. elston;m. m. schauer
oliver l. weaver;joseph h. macek
s. e. butler;alex  dalgarno
g. o. williams;e. n. tsyganov
bernardo a. huberman;douglas j. scalapino
robert r. lucchese;lee  mu-tao
v. l. narasimham;a. s. ramachandran
j. o. ekberg;erling  veje
chiyoe  yamanaka;kunioki  mima
mohamed assad abdel-raouf;louis j. dubé
m. a. yates;m. e. hamm
p. a. egelstaff;j. a polo
david j. pegg;robert n. compton
magnus  rittby;piotr  froelich
r. a. tilton;l. w. downes
m. s. lubell;t. j. gay
g. l. braglia;m.  diligenti
hernán  estrada;michael  berman
a.  timmermann;r.  beigang
c. h. obcemea;piotr  froelich
p. m. gram;j. b. donahue
s.  hagmann;joal  newcomb
sven  mannervik;erling  veje
c. g. aminoff;matti  kaivola
alfred  maquet;j.  bastian
a. toledo piza;j. ribeiro tostes
c. r. stroud;d. a. cardimona
m.  finkenthal;samuel a. cohen
c.  higgs;r. f. stebbings
a. g. adam;t. dean gaily
steven j. smith;w. e. kauppila
k. c. mathur;r. k. sharma
helmut r. brand;axel  schenzle
r. s. nayal;sunil p. singh
william b. colson;p. m. bosco
sunanda  guha;prabir k. roy
richard a. carrigan;donald harvey stork
marco  zoppi;massimo  moraldi
e. n. tsyganov;j.  kubic
j. l. duggan;l. a. rayburn
p.  ruján;harry l. frisch
l.  letamendia;sidney  yip
victor  franco;alvin m. halpern
yoshitsugu  oono;takao  ohta
j. e. hardis;robert l. brooks
j. m. stadlbauer;k. a. aniol
r. c. cauble;david b. boercker
enrico  rossi;riccardo  zanasi
r. t. tsugawa;p. c. souers
y.  gabai;reuben  shuker
n.  venkatalaxmi;shridhar p. gejji
r. l. watson;r. j. maurer
g.  mainfray;l. a. lompre
grażyna  staszewska;david w. schwenke
p. m. gram;r. w. hamm
s.  svanberg;hans  lundberg
shridhar r. gadre;padmakar v. panat
franz  howorka;h.  villinger
clifford g. shull;michael a. horne
denis j. evans;bill  moran
victor  sidis;d.  dhuicq
w. h. breunlich;p.  kammel
c.  camhy-val;m.  bitter
h. f. wellenstein;f.  gasser
a. g. de pinho;n. v. de castro faria
a. g. trigueiros;c.  jupén
i. s. shahin;kevin  king
terutaka  goto;masahiro  okuda
s.  miyoshi;t.  kawabe
p. h. kobrin;dennis w. lindle
annette  zippelius;eric d. siggia
f.  amiranoff;c.  garban-labaune
amita  chaubey;sunil p. singh
serge  haroche;claude  fabre
r. s. bhattacharjee;p. k. srivastava
j. m. stadlbauer;m. d. hasinoff
c. v. barros leite;ricardo j. horowicz
sidney  yip;j.  rouch
robert l. brooks;j. e. hardis
john t. park;v. c. sutcliffe
g.  messina;f. m. gelardi
carmen  cisneros;arnold  russek
ian e. mccarthy;bidhan c. saha
j.  pinard;serge  feneuille
philip d. miller;grzegorz  lapicki
erling  veje;w.  tai-meng
k.  parthasaradhi;r. j. maurer
p.  bicchi;l.  moi
moshe  gitterman;itamar  procaccia
nabil m. lawandy;e. w. cumming
c.  yamabe;stephen j. buckman
m. m. gombert;bernard  held
erling  veje;ulf  litzén
h.  sharifian;m. a. yates
m.  rogge;b.  styczen
lorenzo m. narducci;j. y. gao
