a.  huetz;d.  vichon
yoshio  ishida;yoshifumi  harada
david j. land;donald g. simons
j.  campos;r.  hallin
fritz  haake;joseph w. haus
donald m. cox;simon s. yu
indrek  martinson;boël  denne
dwight  duston;j. l. davis
takahiro  ueda;alex s. green
paul l. devries;thomas f. george
c. j. david lin;v. c. sutcliffe
theodore g. castner;david l. dexter
j. s. lin;e.  gürmen
k.  arnett;john t. park
douglas h. sampson;robert h. clark
l. c. mcintyre;willis e. lamb
k. l. allawadhi;s. k. arora
a.  lesage;j.  richou
gerald t. moore;hazim  al-abawi
f.  boehm;h. e. henrikson
j. c. poizat;j.  remillieux
henry p. freund;b.  liberman
donal j. burns;h. p. garnir
fritz  haake;harald  king
john s. risley;m. eugene rudd
robert  klapisch;gerhard  huber
s. f. wong;james m. phillips
michèle  jomphe;emile j. knystautas
pamela r. woodruff;thomas a. carlson
k.  brau;n. r. sauthoff
hans  kolbenstvedt;haakon a. olsen
r. stephen berry;peter  salamon
david e. nitz;j. m. goldsmith
h. c. werner;r. j. fortner
ian r. mcdonald;jean pierre hansen
nobuhiro  kuwahara;m.  kaneko
yoseph  imry;leon  gunther
c. r. garibotti;jorge e. miraglia
carl  nordling;r.  hallin
r.  schieder;g.  winnewisser
t. p. das;johannes  andriessen
jean pierre briand;pierre  chevallier
charles k. rhodes;r. t. hawkins
a. g. de pinho;c. barros leite
w. a. roney;e. m. szanto
r. a. phaneuf;d. h. crandall
t. j. kvale;jerry l. peacher
r. c. cauble;james j. duderstadt
p.  lebrun;ph.  deschepper
richard a. holt;s. d. rosner
jack m. mochel;jane d. legrange
sigfrid  strässler;j.  bernasconi
john d. allen;james w. taylor
donald g. truhlar;kunizo  onda
d. h. schneider;jose d. garcia
nelson  cue;r.  kutina
igor m. tkachenko;n. b. mcnelis
hajime  tanaka;yoshinori  akaishi
harry l. frisch;barry d. krawchuk
toshiki  tajima;john m. dawson
d. m. blankenship;e.  redd
p.  polak-dingels;john  weiner
m.  ashour-abdalla;charles f. kennel
ali a. antar;matthew s. lucas
s.  marchetti;m.  anderle
richard r. freeman;r.  panock
harold d. bale;j. s. lin
r. j. fortner;d.  ridders
sow hsin chen;g.  nouchi
j. h. smart;w. e. kauppila
l. h. toburen;d. h. schneider
jacob  katriel;g. f. kventsel
p. f. liao;paul r. berman
h.  orth;m. h. yam
samir  saha;a. k. barua
arnold  russek;d. b. kimball
annie  chetioui;pierre  chevallier
a.  yamadera;k.  sera
robert r. lucchese;thomas n. rescigno
elliot p. kanter;a. k. edwards
claude  deutsch;m. m. gombert
akira  hitachi;tadayoshi  doke
hiroshi  ryufuku;tsutomu  watanabe
d. d. hinshelwood;p. g. pappas
thomas m. miller;a.  tino
masatoshi  namiki;hiroki  nakamura
k.  kaminishi;l.  mandel
roy j. glauber;harald  king
kh rezaul karim;mau hsiung chen
j. l. dunlap;e. a. lazarus
paul r. berman;s.  yeh
bernd a. hess;william m. fairbank
michel  jaouen;a.  rachman
bernd  crasemann;hans  mark
w. r. garrett;philip w. coulter
e. s. mashkova;l. l. balashova
frank a. franz;a.  sieradzan
jeff f. young;s. e. harris
k.  inglis;a. k. edwards
matt d. brown;philip d. miller
john r. cary;thomas t. kwan
philip d. miller;quentin c. kessel
wayne w. repko;levere c. hostler
marcel h. lambert;j. j. benattar
carlos f. bunge;manuel  galán
bruce j. zabransky;nelson  cue
robert v. pyle;w. g. graham
alex s. green;james d. talman
g. f. hildebrandt;e. j. beiting
frederick a. grimm;manfred o. krause
m. a. piestrup;d. y. wang
daniel f. walls;c. v. kunasz
r. f. o'connell;george w. ford
wulfhard  lange;h.  burggraf
ivan a. sellin;larry d. gardner
j.  rouch;j. p. chabrat
d.  dillenburg;phillip  sprangle
y. k. ho;j. h. smart
a.  devin;b.  duborgel
maryna  d'souza;a. anil kumar
s.  von goeler;e. g. silver
bernardo  jaduszliwer;a.  tino
j. l. vialle;m.  de saint-simon
d. h. tracy;frank s. tomkins
thomas a. green;j. c. browne
natarajan d. bhaskar;j. c. camparo
gerhard  soff;joachim  reinhardt
john  keller;p.  polak-dingels
c. m. huang;d. k. killinger
masayuki  oyamada;keizo  ishii
kenneth b. mcafee;warren e. falconer
wolfgang  domcke;jochen  schirmer
victor  sidis;m.  barat
lorenzo j. curtis;h. gordon berry
d. k. killinger;charles c. wang
jerry l. peacher;p. j. martin
f.  hardouin;m. f. achard
c. j. david lin;jerry l. peacher
r. l. day;d.  umberger
max  goldstein;grzegorz  lapicki
victor  pol;j. p. downing
c.  thibault;j. l. vialle
toyonori  munakata;jürgen  bosse
h. u. rahman;karl h. spatschek
anthony c. ladd;bill  moran
m.  ashour-abdalla;j. n. leboeuf
g.  laplanche;a.  rachman
h.  daniel;w.  denk
hermann g. kümmel;john g. zabolitzky
s. r. singh;m. suhail zubairy
edward a. hinds;f. j. pichanick
a. r. kunselman;r. j. powers
yoram  tal;richard w. bader
irwin  oppenheim;itamar  procaccia
s. f. howes;r. g. froese
k. r. stalder;j. warren stearns
d. j. hylton;a. p. rau
sadao  nakai;a.  tamura
p. l. finn;françois r. bouchet
j.  désequelles;alain  denis
m. aslam baig;g. l. findley
s. s. wang;p. a. egelstaff
abraham  szöke;wm. lowell morgan
hans c. andersen;m. d. fayer
kang l. wang;a. r. kunselman
w.  prior;v.  nardi
gy.  csanak;peter w. langhoff
sudhanshu s. jha;j. a. armstrong
paolo  lazzeretti;riccardo  zanasi
anil k. pradhan;david w. norcross
d.  varshneya;fabrizio  barocchi
lloyd a. hackel;michael c. rushford
l. a. hackel;shaoul  ezekiel
yannis  komninos;cleanthes a. nicolaides
donald g. simons;matt d. brown
m.  vedder;arnold  russek
d.  eames;k.  brau
j.  pommier;m.  barat
daniel a. beysens;m.  gbadamassi
m. r. franz;thomas c. genoni
f. j. hartmann;r.  bergmann
matt d. brown;charles d. moak
nicolaas  bloembergen;eli  yablonovitch
jean pierre rozet;michel  tavernier
j. l. vialle;c.  thibault
l. w. buxton;w. h. flygare
peter  zoller;s. n. dixit
j. l. flinner;fred w. inman
sandra c. greer;d. t. jacobs
a. k. rajagopal;uday  gupta
shunsuke  ohtani;fumihiro  koike
r. i. hall;j.  mazeau
j. h. smart;f.  laperriere
hong tuan duong;p. l. pillet
hermann g. kümmel;eckhard  krotscheck
b.  sanjeevaiah;c.  ranganathaiah
p.  cavaliere;gaetano  ferrante
d. e. post;einar  hinnov
k. a. safinya;thomas f. gallagher
william  happer;marc  hou
steven trent manson;b. r. tambe
boël  denne;erling  veje
james d. talman;d. d. johnston
vernon w. hughes;t. w. crane
ivan a. sellin;james e. bayfield
y.  inada;yoshishige  suzuki
petr  Čársky;ivan  hubač
indrek  martinson;s.  huldt
jean pierre hansen;e. l. pollock
s. l. verma;k. l. allawadhi
f. d. mcdaniel;r. k. rice
y.  baudinet-robinet;b.  renier
surya p. tewari;girish s. agarwal
n. c. steph;david e. golden
r. c. elton;john f. seely
a.  yamadera;a.  kuwako
r. a. phaneuf;paul o. taylor
e. g. silver;d.  eames
j.  mazeau;i.  Čadež
p.  jacquinot;s.  liberman
t.  coan;earl s. marmar
herbert  störi;ingrid  kuen
kohei  yamada;chiyoe  yamanaka
francisco m. fernández;eduardo a. castro
richard k. moats;harris j. silverstone
s. c. roy;r. h. pratt
marco  zoppi;t. a. litovitz
vincent  mckoy;robert r. lucchese
pierre  chevallier;a.  touati
zeev  vager;bruce j. zabransky
fumihiro  koike;akira  yagishita
kohei  yamada;yoshishige  suzuki
vernon w. hughes;h. w. reist
m.  leon;e.  borie
