a.  huetz;d.  vichon
james r. stallcop;paul l. devries
j. a. tanis;ronald e. olson
h.  burggraf;jürgen  mlynek
a. r. kunselman;alan a. hahn
anthony c. ladd;brad lee holian
j. n. leboeuf;toshiki  tajima
g. barry hillard;munir h. nayfeh
r.  gann;k. k. mon
l. h. toburen;n.  stolterfoht
daniel c. lu;j.  vetter
edward a. hinds;p. h. sandars
t. k. lim;s.  nakaichi
nasser  maleki;joseph h. macek
pierre a.  belanger;marc  couture
d. d. little;peter l. lee
patrick  richard;d. c. gregory
f. b. dunning;t. h. jeys
s.  dhawan;j.  vetter
j. j. benattar;f.  moussa
lorenzo m. narducci;da hsuan feng
p. r. simony;james h. mcguire
k. c. crebbin;g.  tarle
c.  thibault;s.  liberman
ronald  kreutz;ralph  krotz
michael a. johnson;d. b. scarl
c. c. bahr;r. l. watson
françois r. bouchet;p. l. finn
noriaki  tsukada;kazunaru  tomishima
o.  vallée;r.  vetter
v. a. molchanov;a. m. borisov
christina  grot;harris j. silverstone
a.  pesnelle;p. l. pillet
robert a. naumann;c. j. orth
w.  denk;t.  von egidy
r. h. pratt;i. j. feng
johannes  richter;m.  palmquist
s.  liberman;m.  de saint-simon
k. r. stalder;w. g. graham
daniel  kleppner;a. ganesh vaidyanathan
mitsuko  murakami;e. a. lazarus
r. d. kent;m.  schlesinger
t.  thirunamachandran;edwin a. power
bjarne  andresen;j. o. ekberg
shunsuke  ohtani;k.  wakiya
zeev  vager;a. j. ratkowski
j. j. dupin;j. f. baret
b. e. perry;thomas f. gallagher
paul l. devries;bernard  laskowski
l. a. wright;m. r. franz
arnold  russek;niels hessel andersen
kenneth i. golden;haim  yatom
bertrand  guillot;george  birnbaum
p. d. dumont;b.  renier
h. j. kunze;r. s. hornady
p. a. thompson;daniel c. lu
ove  poulsen;t.  andersen
patrick  richard;james m. hall
paul  weiss;benjamin  bederson
a. p. rau;mitio  inokuti
bruce j. zabransky;a. j. ratkowski
gerhard  huber;j.  pinard
g. e. derkits;siddheswar  chaudhuri
yoseph  imry;joseph  lajzerowicz
g. l. schmidt;j. d. knight
j. f. baret;gilbert  albinet
j. l. davis;dwight  duston
b. v. mckoy;n. t. padial
r. c. isler;s. c. bates
henry p. freund;phillip  sprangle
roy h. neynaber;s. y. tang
willard r. wadt;richard l. martin
phillip  sprangle;wallace m. manheimer
e. j. campbell;w. h. flygare
sunil d. lakdawala;peter j. mohr
p. h. mauk;e. m. helmy
charles k. rhodes;robert f. benjamin
t. s. stein;j. p. downing
marianne  breinig;mau hsiung chen
j. p. miller;alan a. hahn
wm. lowell morgan;abraham  szöke
henry i. smith;john  melngailis
wolfgang  kiefer;a.  beckmann
james a. o'neill;eric h. pinnington
john d. allen;thomas a. carlson
m. d. levenson;g. c. bjorklund
m.  anderle;giacinto  scoles
j.  migdalek;william e. baylis
ronald e. olson;j. a. tanis
r. l. watson;c. c. bahr
i.  Čadež;r. i. hall
b. b. rao;john t. ho
kim m. jones;antoinette j. taylor
d. k. misemer;frank w. kutzler
john e. rice;earl s. marmar
t. c. chu;a.  yamadera
r. g. froese;s. f. howes
peter  zoller;peter d. drummond
a. a. ashkin;james p. gordon
r.  deserio;ralph d. hight
eberhard u. gross;johann  rafelski
edward r. mcmullen;alex  zunger
bidhan c. saha;andris t. stelbovics
s.  büttgenbach;c.  thibault
gy.  csanak;g. d. meneses
s. n. ray;a. k. barua
russell j. donnelly;kwangjai  park
r. c. isler;c. h. ma
andrzej  zardecki;jacek  chrostowski
k. h. van leeuwen;wim  hogervorst
b. v. mckoy;peter w. langhoff
george l. wong;c. h. sohl
tadayoshi  doke;shinzou  kubota
noriaki  tsukada;tomoya  akiba
robert l. brooks;james a. o'neill
d. h. crandall;peter m. koch
w. n. lennard;g. c. ball
cüneyt  can;r. d. dubois
v. c. sutcliffe;j. e. aldag
gerald b. kasting;benjamin m. ocko
j.  van laak;chi h. lee
g.  laplanche;michel  jaouen
l. a. bahler;t. a. detemple
a. j. ratkowski;bruce j. zabransky
r. dominguez tenreiro;rémi  hakim
govind p. agrawal;chr.  flytzanis
j.  laane;a.  beckmann
a.  kuwako;masayuki  oyamada
f. g. mariam;daniel c. lu
g.  nolte;g.  gaukler
t. n. chang;tore  olsen
Ö.  staaf;t.  noreland
x.  husson;j. p. buchet
shinya  kasai;mitsuko  murakami
n. r. sauthoff;d.  eames
raymond j. fonck;einar  hinnov
f. t. chan;m.  lieber
f. j. hartmann;w.  denk
david  mehaffy;paul r. keller
victor  sidis;d.  dowek
tarasankar  nag;brahmananda  dasgupta
david d. carley;allen c. dotson
p. a. souder;m. h. yam
david w. norcross;anil k. pradhan
michael j. mehl;william l. schaich
j. j. dupin;j. l. firpo
yaakov  shima;kenneth i. golden
n. c. paul;s. c. das
raymond d. mountain;c. s. hsu
v. c. sutcliffe;j. m. george
mineo  kimura;jong h. choi
evans m. harrell;christina  grot
y. k. ho;w. e. kauppila
s. sunil kumar;c. l. mehta
david c. cartwright;ara  chutjian
norman f. ramsey;daniel j. larson
a. eugene livingston;lorenzo j. curtis
keizo  ishii;k.  sera
f. t. hioe;h. i. yoo
truong-bach;a.  lesage
sandor  trajmar;hiroyuki m. tanaka
r.  guccione-gush;h. p. gush
h. y. carr;james r. beckett
a.  kuwako;m.  kamiya
r. l. sinclair;a. m. robinson
c. j. david lin;l. n. tunnell
k. c. mathur;g. p. gupta
g. b. mcmillian;f. b. dunning
john g. wills;f. bary malik
william e. cooke;thomas f. gallagher
itamar  procaccia;irwin  oppenheim
k. g. whitney;paul c. kepple
françois r. bouchet;p. e. cladis
m. m. gombert;claude  deutsch
a. anil kumar;mahn won kim
anton  zeilinger;roland  gähler
keizo  ishii;m.  sebata
james e. lawler;a.  siegel
a. r. bogdan;nicolaas  bloembergen
w. l. slattery;hugh e. dewitt
chiyoe  yamanaka;y.  inada
e. m. szanto;r. v. ribas
p.  jacquinot;c.  thibault
per a. amundsen;robert  anholt
ning chih  wong;charles m. knobler
anna i. mcpherson;w. b. westerveld
gabor j. kalman;d.  merlini
demetri j. photinos;philip j. bos
s. r. hartmann;e. a. whittaker
stephen j. smith;arlee v. smith
m. m. popović;a. a. mihajlov
daniel  kleppner;michael g. littman
e.  alge;franz  howorka
t. r. dillingham;patrick  richard
ronald a. lovett;robert  yaris
matthew s. lucas;quentin c. kessel
m. g. levy;yoram  tal
richard g. brewer;ngai c. wong
s.  bliman;b.  jacquot
john  melngailis;j. d. litster
james w. taylor;manfred o. krause
p. h. kleban;h.  ted davis
herbert  dropkin;clyde a. morrison
michel  jaouen;a.  declémy
james m. hall;kingsley w. jones
thomas a. carlson;frederick a. grimm
a.  langenberg;r. l. watson
david c. cartwright;gy.  csanak
paul d. kleiber;c. h. skinner
j.  campos;a.  bengtson
david f. phillips;w. n. lennard
j. c. barthelat;m.  pelissier
carlos f. bunge;rocío  jáuregui
salvatore  iannotta;davide  bassi
alfred s. schlachter;robert v. pyle
k. h. yang;joseph o. hirschfelder
néstor r. arista;werner  brandt
s. e. butler;t. g. heil
r. aaron falk;ronald  geballe
john r. cary;james d. meiss
s.  von goeler;k.  brau
a.  siegel;james e. lawler
j.  kising;s.  röhl
l. e. murray;mitsuko  murakami
g. michael bancroft;d. d. johnston
t. j. gay;donal j. burns
meera  chandrasekhar;p. e. chumbley
william e. cooke;c. l. cromer
noriaki  tsukada;takashi  nakayama
mitio  inokuti;george h. gillespie
m. d. fayer;hans c. andersen
john w. cooper;j. l. davis
c. j. orth;m. e. schillaci
j. l. vialle;s.  liberman
p. d. dumont;h. p. garnir
d. h. schneider;w.  butscher
chiyoe  yamanaka;kohei  yamada
priti  khan;m.  daskhan
filip r. vukajlović;sergue i. vinitsky
claudio  leone;gaetano  ferrante
h. k. tseng;young soon kim
w.  wilhelm;t.  von egidy
jerry l. peacher;john t. park
françoise combet farnoux;martine ben amar
g.  winnewisser;h. p. gush
robin  shakeshaft;joseph h. macek
michael  rosenbluh;terry a. miller
john r. white;r. l. watson
rodolfo  bonifacio;gerald t. moore
vernon w. hughes;f. g. mariam
r. l. carman;robert f. benjamin
tatsumi  kawaratani;shin  ito
t. j. kvale;k.  arnett
n. tran minh;r.  vetter
r. k. rice;george  basbas
t. w. shattuck;shimon  vega
alan a. hahn;j. p. miller
ralph d. hight;h. gordon berry
a.  tamura;y.  inada
srinivasan  krishnamurthy;walter i. goldburg
j. j. reidy;f. j. hartmann
frank  garisto;b. c. sanctuary
erling  veje;boël  denne
b.  dubreuil;g.  gousset
t.  noreland;Ö.  staaf
a.  siegel;t. w. hansch
e. a. whittaker;s. r. hartmann
d. f. register;santosh k. srivastava
daniel d. dietrich;harvey a. gould
j. h. jacob;b. b. srivastava
j. l. staudenmann;roberto  colella
a.  huetz;i.  Čadež
k. h. finken;g.  bertschinger
n. t. padial;b. v. mckoy
winston h. bostick;v.  nardi
c.  duzy;h. a. hyman
ove  poulsen;boël  denne
j. p. downing;victor  pol
n. c. sil;s. k. sur
s. a. lewis;f. j. pichanick
manoranjan  khan;b.  bhattacharyya
james m. hoffman;glenn h. miller
michael a. morrison;lee a. collins
k. s. puttaswamy;b.  sanjeevaiah
daniel c. lu;a. b. denison
d.  dillenburg;henry p. freund
y. k. ho;victor  pol
michael a. johnson;bruce w. shore
horacio d. sivak;rémi  hakim
kazimierz  rza̧źewski;krzysztof  gawȩdzki
peter  otto;harris j. silverstone
john w. cooper;balazs f. rozsnyai
p.  malinowski;karol  jankowski
b.  sanjeevaiah;ramakrishna  gowda
robert  anholt;per a. amundsen
nelson  cue;donald s. gemmell
david m. ronis;jonathan  machta
kingsley w. jones;d. c. gregory
t. f. moran;b. p. mathur
m. j. gaillard;j.  remillieux
gary d. doolen;hugh e. dewitt
w. g. laidlaw;peter p. crooker
h. s. suzuki;k.  wakiya
mark  feldman;ting shan luk
b.  jacquot;n.  chan-tung
robert  gilmore;lorenzo m. narducci
jochen  schirmer;j.  kiessling
j.  pommier;victor  sidis
margaret d. reid;daniel f. walls
r. j. powers;f.  boehm
jürgen  bosse;marc  baus
rajeev k. pathak;shridhar r. gadre
s. g. menon;suresh v. lawande
alan a. hahn;a. r. kunselman
s. f. shirron;fabrizio  barocchi
masao  arai;a. s. tremblay
toshimitsu  yamazaki;h.  en'yo
s. n. ray;b.  bhattacharyya
h.  villinger;p.  lukac
laszlo  palffy;ph.  deschepper
richard l. martin;willard r. wadt
robert e. walkup;annie  spielfiedel
steven trent manson;constantine e. theodosiou
e.  asseo;x.  llobet
john  reid;a. w. mckellar
hong tuan duong;f.  touchard
g. zu putlitz;s.  dhawan
f. g. mariam;a. b. denison
charles k. rhodes;jeffrey  bokor
yoshinobu  izumi;yasuhiro  miyake
a.  riera;manuel  yáñez
walter r. thorson;jong h. choi
james e. lawler;d. w. duquette
bernard  malraison;etienne  guyon
daniel j. larson;norman f. ramsey
c. r. vidal;h.  scheingraber
a.  declémy;michel  jaouen
s. m. shafroth;j. e. willis
richard m. schectman;r.  deserio
h. gordon berry;n.  schaffel
john  hiller;a. k. bhatia
tetsuo  ogawa;tsutomu  yabuzaki
c. w. gardiner;daniel f. walls
h. gordon berry;donal j. burns
r. h. pratt;oscar v. gabriel
osvaldo  goscinski;brian  weiner
earl s. marmar;robert d. cowan
r. s. hornady;h. j. kunze
v. c. sutcliffe;e.  redd
jacek m. kowalski;andrzej  pȩkalski
semaan i. salem;d. d. little
c. k. au;g. w. rogers
thomas h. bergeman;david  lieberman
m. r. keenan;w. h. flygare
j. l. pellissier;françois  grimaldi
j. s. chang;g. l. ogram
i. p. hamilton;paul  brumer
r. j. powers;j. l. vuilleumier
george  basbas;r. k. rice
l.  frost;k. j. nygaard
charles d. moak;quentin c. kessel
elliot p. kanter;bruce j. zabransky
k. a. safinya;wolfgang  sandner
n.  stolterfoht;kennedy j. reed
m. h. yam;h. w. reist
d.  aadsen;p. e. cladis
bernardo  jaduszliwer;r.  dang
p.  bisgaard;e.  horsdal-pedersen
george w. ford;r. f. o'connell
wallace l. glab;munir h. nayfeh
a. j. ratkowski;zeev  vager
m. suhail zubairy;j. j. yeh
d. m. blankenship;k.  arnett
h. s. kwok;nicolaas  bloembergen
john r. white;r. a. kenefick
fred l. roesler;raymond j. fonck
n.  chaudhuri;j.  basu
s. sen gupta;s. c. das
giacinto  scoles;salvatore  iannotta
j. e. aldag;j. m. george
robert d. cowan;k. w. hill
p. o. egan;j.  vetter
michael g. raymer;paul  narum
p. c. gane;marcel h. lambert
josef  paldus;karol  jankowski
n.  bras;j  c. gauthier
p. j. schneider;k. r. stalder
robert  gilmore;da hsuan feng
h.  pummer;h.  egger
s. p. mcglynn;j. a. dagata
r.  panock;michael  rosenbluh
mau hsiung chen;hans  mark
josef  sak;chester a. vause
p. j. mallozzi;h. m. epstein
j.  remillieux;nelson  cue
m.  kurilla;thomas n. rescigno
a.  pesnelle;m.  de saint-simon
ignacio  alvarez;carmen  cisneros
takashi  nakayama;noriaki  tsukada
s. c. bates;e. a. lazarus
peter d. drummond;c. w. gardiner
p. h. mokler;g. c. ball
martin  dost;j.  smolorz
e. b. justiniano;a. g. nader
daniel c. lu;p. o. egan
gian paolo tozzi;marco  pettini
s.  svanberg;k.  fredriksson
j.  vetter;p. o. egan
charles m. knobler;ning chih  wong
p. e. cladis;d.  guillon
hans  kleinpoppen;rainer  hippler
grzegorz  lapicki;werner  brandt
stephen r. lundeen;d. a. van baak
r. h. schuch;g.  gaukler
r. v. hodges;james ray peterson
n. c. sil;puspajit  mandal
j. l. dehmer;j.  welch
j. l. vuilleumier;j. p. miller
t. j. kvale;e.  redd
h. gordon berry;richard m. schectman
a.  bengtson;carl  nordling
axel  schenzle;richard g. brewer
p. a. souder;vernon w. hughes
manfred o. krause;james w. taylor
k.  wakiya;akira  yagishita
yoshinori  akaishi;s.  nakaichi
f. b. dunning;k. a. smith
h. gordon berry;h. p. garnir
b.  sollenberger;fred w. inman
alan a. hahn;r. j. powers
robert  klapisch;m.  de saint-simon
peter l. lee;a. anil kumar
e. g. silver;n. r. sauthoff
da hsuan feng;girish s. agarwal
h.  puell;c. r. vidal
k. a. smith;gregory j. hatton
klaus dieter schotte;t. t. truong
bjarne  andresen;lars  engström
r.  panock;richard r. freeman
h. s. kwok;eli  yablonovitch
p. a. souder;f. g. mariam
grant j. lockwood;james m. hoffman
jeffrey  bokor;richard r. freeman
kennedy j. reed;d. h. schneider
emile j. knystautas;stephen m. younger
pat  sofinski;marvin  bishop
charles ray smith;k. d. lain
j. a. cooper;abraham  szöke
m. eugene rudd;r. g. rolfes
d. h. schneider;reinhard  bruch
sandor  trajmar;david c. cartwright
a. r. kunselman;f.  boehm
a. s. ghosh;m.  daskhan
p. j. cooney;a. j. ratkowski
m.  rothschild;charles k. rhodes
a.  tamura;m.  hamada
j. p. connerade;g. l. findley
bjarne  andresen;indrek  martinson
david linton johnson;g. l. henderson
d. d. johnston;g. michael bancroft
s. k. sur;s. c. mukherjee
e.  redd;j. m. george
b. g. ritchie;philip w. coulter
a.  yamadera;t. c. chu
james m. hoffman;grant j. lockwood
william d. phillips;robert e. walkup
j. c. leicknam;savo  bratos
p. h. edmonds;mitsuko  murakami
allan  reiman;john  finn
w. n. lennard;david f. phillips
manfred o. krause;pamela r. woodruff
gaetano  ferrante;p.  cavaliere
william  happer;j. c. camparo
d. a. lubowich;j. t. hays
george s. brown;bernd  crasemann
arthur l. schawlow;kim m. jones
robert v. pyle;alfred s. schlachter
j. d. litster;hans  von känel
john t. park;j. m. george
n. c. sil;sunanda  guha
n. t. padial;g. d. meneses
g. a. ruff;k. a. safinya
r.  buchwald;k. h. finken
andrzej  pȩkalski;p.  clippe
thomas w. mossberg;ravinder  kachru
michael  wortis;jon alan wright
semaan i. salem;brahm  dev
rajendra p. gupta;william  happer
szymon  suckewer;raymond j. fonck
x. y. huang;lorenzo m. narducci
e. a. lazarus;j. l. dunlap
s. m. morita;k.  sera
s. b. woo;a. p. paszek
p. f. müller;g.  saemann-ischenko
p.  clippe;andrzej  pȩkalski
c.  thibault;gerhard  huber
h. p. roy;prasanta kumar mukherjee
gordon a. gallup;joseph h. macek
william h. wing;j. t. shy
haakon a. olsen;hans  kolbenstvedt
shinzou  kubota;terence a. king
z. r. iwinski;r. h. pratt
benjamin m. ocko;carl w. garland
f. bary malik;john g. wills
edward  pollack;niels hessel andersen
h. p. garnir;richard m. schectman
r.  hallin;Ö.  staaf
g. h. both;karl  lohmer
c.  higgs;f. b. dunning
r. e. kennerly;a. c. gallagher
leonard c. maximon;h. a. gimm
md.  salimullah;mahendra singh sodha
t. k. umesh;ramakrishna  gowda
john c. huang;edward b. rockower
marvin  bishop;harry l. frisch
carl f. melius;bruce c. garrett
reinhart  ahlrichs;maria  hoffmann-ostenhof
e. h. da jornada;b.  liberman
s.  hoppenau;martin  dost
r. j. tarento;a. m. levelut
marianne  breinig;gene e. ice
x.  llobet;e.  asseo
theodore g. castner;s. d. druger
thomas l. ferrell;rufus h. ritchie
d. y. wang;m. a. piestrup
b. r. müller;ulrich  heinz
j.  smolorz;w. a. schönfeldt
r. i. hall;f.  gresteau
vincent  mckoy;kazuo  takatsuka
thomas m. miller;bernardo  jaduszliwer
george  stell;jean jacques weis
d.  eames;m.  bitter
thomas n. rescigno;m.  kurilla
olavi  keski-rahkonen;k.  reinikainen
john c. wheeler;pierre m. pfeuty
earl s. marmar;s. l. allen
harold j. metcalf;mark  feldman
harold d. bale;paul w. schmidt
semaan i. salem;peter l. lee
yatendra pal varshni;r. n. kesarwani
n. t. padial;david c. cartwright
frederick a. grimm;james w. taylor
gérard  coulaud;c.  fleurier
e.  alge;h.  villinger
f.  matsuoka;hitoshi  nishimura
a.  pesnelle;gerhard  huber
james d. talman;alex s. green
j. l. dehmer;dan  dill
l. m. diana;j. t. hutton
yoshio  ishida;yasuo  suzuki
charles f. kennel;j. n. leboeuf
jerry l. peacher;k.  arnett
mahendra singh sodha;tarsem  singh
l.  vriens;a. m. smeets
da hsuan feng;lorenzo m. narducci
david l. dexter;s. d. druger
l. b. bridwell;charles d. moak
kenneth i. golden;r.  calinon
a.  kponou;f. j. pichanick
p.  lukac;w.  lindinger
a.  huetz;r. i. hall
marco p. lima;luiz g. ferreira
j. p. apruzese;dwight  duston
akira  yagishita;h. s. suzuki
n.  schaffel;richard m. schectman
h. gordon berry;a. eugene livingston
m.  daskhan;a. s. ghosh
i.  Čadež;a.  huetz
s.  liberman;c.  thibault
s. j. hinterlong;h. gordon berry
fritz  haake;roy j. glauber
g. zu putlitz;vernon w. hughes
james s. langer;arthur j. schwartz
b. k. van zyl;h.  neumann
e. b. justiniano;a. g. de pinho
x.  husson;j. p. grandin
carlos  falcon;priti  khan
p. j. schneider;klaus h. berkner
j. d. litster;john  melngailis
g.  tarlé;steven p. ahlen
harold d. bale;e.  gürmen
a. m.  mårtensson;ernest m. henley
ph.  deschepper;p.  lebrun
e. b. justiniano;tom j. gray
jayanth r. banavar;g. e. derkits
m.  hamada;hitoshi  nishimura
gabor j. kalman;yaakov  shima
george j. dezenberg;douglas w. jones
s. f. shirron;t. a. litovitz
thomas j. morgan;r.  mayo
d. c. gregory;james m. hall
noel a. clark;ronald s. pindak
kanika  roy;s. c. mukherjee
harold j. metcalf;thomas h. bergeman
aldona  gabriunas;dieter  forster
s. a. bhatti;c. l. cromer
david j. pegg;peter m. koch
c. h. ma;p. h. edmonds
g.  tarle;steven p. ahlen
enrique  tirapegui;f.  langouche
avinash c. sharma;william  happer
sudhanshu s. jha;k. c. pandey
c. h. ma;r. c. isler
c. j. orth;g. l. schmidt
marianne  breinig;george s. brown
james r. stallcop;thomas f. george
r. s. schneider;d.  dillenburg
james m. peek;jacob  katriel
n.  stolterfoht;p.  ziem
Ö.  staaf;j.  campos
j. f. chemin;w. e. meyerhot
h. c. thomas;markus  büttiker
richard r. freeman;l. m. humphrey
j. l. pellissier;annette  lecourt
h. e. henrikson;petr  vogel
r.  deserio;donal j. burns
jose d. garcia;n.  stolterfoht
p. l. pillet;j.  pinard
lorenzo m. narducci;james d. farina
j.  pommier;d.  dowek
s.  liberman;p.  juncar
k.  brau;m.  bitter
j. a. tanis;klaus h. berkner
b.  couillaud;a.  siegel
charles  rosenblatt;robert b. meyer
william m. fairbank;bernd a. hess
steven w. haan;aneesur  rahman
p.  esfandiari;h. c. burstyn
w. n. lennard;t. e. jackman
c. w. schulte;john l. campbell
robert b. meyer;ronald s. pindak
e. j. beiting;k. a. smith
d. k. misemer;sebastian  doniach
c.  vaucamps;j.  rouch
e.  bovet;j. l. vuilleumier
g. zu putlitz;f. g. mariam
a. k. edwards;bruce j. zabransky
e. j. beiting;f. b. dunning
rajarshi  roy;robert w. short
alfred s. schlachter;w. g. graham
john t. ho;s. k. hark
james s. langer;lukasz a. turski
a. r. kunselman;j. l. vuilleumier
k. r. stalder;j. a. tanis
h. p. garnir;ralph d. hight
j. l. vuilleumier;petr  vogel
t. a. litovitz;fabrizio  barocchi
donald s. gemmell;a. k. edwards
m.  kaneko;k.  hamano
j. m. george;v. c. sutcliffe
olavi  keski-rahkonen;j. j. tulkki
masaki  kato;h. j. kunze
s. r. smith;david h. schwamb
davide  bassi;salvatore  iannotta
mau hsiung chen;fernando  parente
Ö.  staaf;a.  arnesen
c. m. huang;charles c. wang
alex  szabo;s. r. hartmann
manuel  yáñez;a.  riera
tadashi  aoki;katsumi  sakurai
a. t. lin;john m. dawson
h. a. gersch;charles l. cleveland
j. l. davis;k. g. whitney
jon  siegel;dan  dill
akiva  ron;h. k. tseng
christina  grot;evans m. harrell
k. t. cheng;yu kwon kim
philip d. miller;c. m. jones
r. r. alfano;joel i. gersten
h.  villinger;e.  alge
priti  khan;carlos  falcon
robert d. cowan;n. r. sauthoff
mitio  inokuti;a. p. rau
akira  hitachi;shinzou  kubota
ara  chutjian;david c. cartwright
a.  touati;annie  chetioui
p.  juncar;hong tuan duong
david  mehaffy;thomas a. carlson
f. d. mcdaniel;j. l. duggan
william b. daniels;d.  aadsen
c.  thibault;p.  juncar
t. w. hansch;b.  couillaud
f.  moussa;j. j. benattar
wallace m. manheimer;c. m. tang
ring ling  chien;r. stephen berry
charles  rosenblatt;noel a. clark
benjamin  bederson;paul  weiss
c. j. david lin;k.  arnett
j. l. vomvoridis;wallace m. manheimer
n.  stolterfoht;p. r. simony
k.  inglis;bruce j. zabransky
a.  tamura;h.  azechi
t. k. lim;hajime  tanaka
a. b. denison;g. zu putlitz
salvatore  solimeno;bruno  crosignani
e. j. beiting;r. f. stebbings
seppo  aksela;juhani  väyrynen
wolfgang  domcke;lorenz s. cederbaum
david r. herrick;peter g. sherman
m.  lieber;kazem  omidvar
g. l. schmidt;c. j. orth
yoshishige  suzuki;chiyoe  yamanaka
j. a. tanis;j. warren stearns
w.  schmidt;f.  löffler
k. a. safinya;j  f. delpech
w. a. schönfeldt;s.  röhl
j.  breton;p. m. guyon
richard k. moats;jiří  Čížek
h. h. lo;jeffrey c. halle
t.  von egidy;r.  bergmann
sergue i. vinitsky;filip r. vukajlović
markus  büttiker;rolf  landauer
r. s. hornady;masaki  kato
mau hsiung chen;marianne  breinig
m. j. gaillard;nelson  cue
p. j. martin;e.  redd
j. d. kilkenny;m. h. key
c. m. jones;quentin c. kessel
p. g. pappas;michael s. feld
itzhak  webman;malvin h. kalos
ara  chutjian;santosh k. srivastava
hong tuan duong;p.  jacquinot
john b. ketterson;k. e. miyano
charles d. moak;g. d. alton
francis m. pipkin;b. o. clark
ronald  kreutz;wolfgang  neuwirth
haim  yatom;kenneth i. golden
f.  gresteau;d.  vichon
frederick a. grimm;john d. allen
e. a. lazarus;mitsuko  murakami
robert  yaris;peter  winkler
pritam p. ray;bidhan c. saha
h. c. werner;d.  ridders
p. v. grujić;s.  vučić
w.  denk;j. j. reidy
g. j. erickson;kenneth m. sando
gerhard  huber;s.  büttgenbach
howard c. hayden;edward  pollack
c. s. hsu;steven w. haan
r.  saxena;girish s. agarwal
michael m. burns;d. e. murnick
donald s. gemmell;p. j. cooney
m. d. burrows;l. c. mcintyre
winston h. bostick;w.  prior
stephen r. lundeen;david r. cok
theodore w. ducas;daniel  kleppner
w. j. sandle;a. c. gallagher
alex  dalgarno;t. g. heil
bruce w. shore;a. f. bernhardt
b. r. müller;jürgen  theis
d. w. duquette;james e. lawler
lorenzo j. curtis;richard m. schectman
niels hessel andersen;m.  vedder
gabor j. kalman;kenneth i. golden
yoshishige  suzuki;h.  azechi
rainer  hippler;i.  mcgregor
james ray peterson;m. j. coggiola
m.  barat;vu ngoc tuan
shinya  kasai;p. h. edmonds
ngai c. wong;richard g. brewer
g. b. mcmillian;k. a. smith
fernando j. da paixão;gy.  csanak
b. k. rao;u. c. satapathy
ngai c. wong;axel  schenzle
richard k. moats;josef  paldus
r. l. watson;a.  langenberg
johannes  andriessen;s. n. ray
m.  druetta;alain  denis
j. warren stearns;klaus h. berkner
gerald  feinberg;a. k. bhatia
chindhu s. warke;v. l. narasimham
ch.  stoller;per a. amundsen
young soon kim;akiva  ron
robin  shakeshaft;j. m. wadehra
m. c. buchet-poulizac;x.  husson
rajarshi  roy;k.  kaminishi
p.  ranson;j.  chapelle
jerry l. peacher;james h. mcguire
j. richard mowat;s. m. shafroth
hans r. griem;robert l. brooks
brad lee holian;richard b. hickman
kazunaru  tomishima;noriaki  tsukada
a. s. ghosh;sunanda  guha
jayanta k. bhattacharjee;r. s. basu
d. b. scarl;lloyd a. hackel
l. a. hackel;richard p. hackel
m.  ligare;marc  hou
jose d. garcia;s. j. pfeifer
v. k. tripathi;md.  salimullah
h.  sol;e.  asseo
gordon h. dunn;r. a. phaneuf
luigi a. lugiato;lorenzo m. narducci
b.  sollenberger;j. j. chmielewski
m. f. achard;r. j. tarento
stanisław  kielich;n. l. manakov
jean pierre rozet;pierre  chevallier
d.  dillenburg;r. s. schneider
h.  harde;jürgen  mlynek
Ö.  staaf;carl  nordling
michael c. rushford;michael a. johnson
r.  calinon;pradip m. bakshi
harris j. silverstone;barry g. adams
j. p. chabrat;j.  rouch
daniel f. walls;margaret d. reid
michael a morrison;lee a. collins
allan n. kaufman;celso  grebogi
bernard  kirtman;daniel m. chipman
charles d. moak;ali a. antar
hirokane  kawakami;chiyoe  yamanaka
j. c. keller;christian  delsart
sumiaki  ibuki;tomoya  akiba
a. j. leadbetter;p. c. gane
j. a. stone;thomas j. morgan
james d. talman;p. s. ganas
alex s. green;d. e. rio
a. g. nader;e. b. justiniano
n. b. abraham;john c. huang
ali a. antar;g. d. alton
b. b. srivastava;d.  klimek
zeev  vager;donald s. gemmell
s.  dhawan;p. a. souder
peter m. koch;larry d. gardner
denis a. nicole;takao  ohta
h.  pummer;r. t. hawkins
f. g. mariam;p. a. souder
donal j. burns;ralph d. hight
a. ganesh vaidyanathan;theodore w. ducas
l. l. balashova;a. m. borisov
r. h. pratt;h. k. tseng
m.  bitter;russell a. hulse
v.  schmidt;francois j. wuilleumier
h.  azechi;yoshishige  suzuki
u.  weinert;s. l. lin
k. c. crebbin;m. h. salamon
g. zu putlitz;h. w. reist
s. r. hartmann;thomas w. mossberg
j. p. grandin;x.  husson
l. l. balashova;v. a. molchanov
santosh k. srivastava;ara  chutjian
e. g. silver;k. w. hill
r.  calinon;d.  merlini
john j. wright;s. e. frolking
joel i. gersten;r. r. alfano
j. d. litster;h. von känel
francois j. wuilleumier;s.  krummacher
h. j. oskam;d. w. ernie
m.  le dourneuf;walter r. johnson
j. j. benattar;p. c. gane
a. lewis ford;john f. reading
j. e. bjorkholm;richard r. freeman
r. j. fortner;n.  stolterfoht
manfred o. krause;frederick a. grimm
richard w. bader;jan  erkku
m.  palmquist;johannes  richter
kennedy j. reed;r. j. fortner
n. tran minh;o.  vallée
gregory j. hatton;f. b. dunning
m. j. gaillard;n. castro faria
